 Created on  1Dec2019 at 17:05:41 
   -0.460098    0.754555    0.467928
    0.360603   -0.755884    0.546447
   -0.742428   -0.669889   -0.007009
    0.445131    0.161503   -0.880781
   -0.349220    0.840173    0.414916
    0.735577   -0.301268    0.606766
   -0.720945   -0.532339   -0.443682
    0.224895    0.468698   -0.854251
   -0.447947    0.631082    0.633308
    0.721144   -0.611654    0.325315
   -0.298260   -0.553677   -0.777485
    0.658295    0.517407   -0.546752
   -0.796191    0.392294    0.460636
    0.455116   -0.477829    0.751365
   -0.509310   -0.635166   -0.580661
    0.349696    0.834945   -0.424946
   -0.911042   -0.016027    0.412002
    0.769404   -0.357228    0.529534
   -0.458163   -0.785922   -0.415228
    0.477518    0.489455   -0.729665
   -0.514639    0.771502    0.374074
    0.501696   -0.480466    0.719343
   -0.665433   -0.596624   -0.448596
    0.406984    0.636408   -0.655247
   -0.759560    0.332073    0.559282
    0.741854   -0.538029    0.400223
   -0.266586   -0.770143   -0.579492
    0.080030    0.834552   -0.545086
   -0.678493    0.254205    0.689222
    0.909583   -0.205927    0.360905
   -0.502547   -0.636994   -0.584538
    0.628082    0.761171   -0.161653
   -0.728050    0.562522    0.391805
    0.525268   -0.603595    0.599806
   -0.627647   -0.539385   -0.561358
    0.219556    0.721765   -0.656392
   -0.450014    0.096492    0.887793
    0.820180   -0.220292    0.527993
   -0.519676   -0.844550   -0.129118
    0.452918    0.300591   -0.839351
   -0.635657    0.702480    0.320098
    0.566386   -0.210512    0.796800
   -0.355807   -0.674261   -0.647127
    0.511913    0.855496   -0.077924
   -0.538294    0.672452    0.507984
    0.368968   -0.864397    0.341585
   -0.152081   -0.551586   -0.820136
    0.281990    0.853010   -0.439153
   -0.708307    0.265738    0.653976
    0.744127   -0.571105    0.346575
   -0.621484   -0.421590   -0.660318
    0.606717    0.736828   -0.298292
   -0.571635    0.428975    0.699438
    0.524374   -0.755255    0.393219
   -0.499147   -0.814353   -0.296112
    0.732886    0.309323   -0.605968
   -0.726450    0.658727    0.195826
    0.564795   -0.301786    0.768070
   -0.572820   -0.654411   -0.493582
    0.221581    0.801231   -0.555815
   -0.653657    0.350969    0.670488
    0.911925   -0.369286    0.178945
   -0.636362   -0.739913   -0.218109
    0.490444    0.521110   -0.698504
   -0.792804    0.490102    0.362301
    0.744110   -0.253618    0.618043
   -0.540714   -0.592956   -0.596684
    0.735386    0.317900   -0.598453
   -0.529324    0.258834    0.807973
    0.764769   -0.227811    0.602686
   -0.318097   -0.946233   -0.058797
    0.387151    0.309070   -0.868671
   -0.747275    0.657219    0.098195
    0.597128   -0.009701    0.802087
   13.333333
   -0.099833    0.839326    0.534383
   -0.211764   -0.849317    0.483546
    0.616264   -0.673266   -0.408573
   -0.365010    0.656213   -0.660418
    0.462455    0.435515    0.772310
   -0.545608   -0.837968   -0.011050
    0.593525   -0.496415   -0.633483
   -0.224965    0.946858   -0.229893
    0.477885    0.437973    0.761450
   -0.872399   -0.296999    0.388216
    0.697195   -0.390314   -0.601311
   -0.274157    0.284769   -0.918556
    0.415374    0.885239    0.209323
   -0.739273   -0.514801    0.434115
    0.747808   -0.612048   -0.257255
   -0.397899    0.319920   -0.859842
    0.829499    0.320534    0.457371
   -0.343008   -0.573856    0.743663
    0.335053   -0.495196   -0.801574
   -0.837864    0.522050   -0.159525
    0.490433    0.862942    0.121684
   -0.336226   -0.487901    0.805546
    0.603822   -0.613348   -0.509119
   -0.813439    0.109723   -0.571207
    0.674246    0.728516    0.121064
