 Created on  1Dec2019 at 16:53:37 
   -0.826567   -0.180522    0.533103
   -0.554197   -0.831226   -0.043930
   -0.871768   -0.222614    0.436421
    0.012801    0.431809   -0.901874
   -0.872015   -0.473621    0.123581
   -0.437992    0.353970    0.826358
   -0.817382    0.298839   -0.492526
   -0.550595    0.326268   -0.768371
   -0.990725   -0.095876   -0.096292
   -0.825036   -0.500893   -0.261577
   -0.950777   -0.102616   -0.292391
   -0.264737    0.467988    0.843150
   -0.875577    0.092228   -0.474193
   -0.230340   -0.932080   -0.279591
   -0.622881    0.617826    0.479907
   -0.674456    0.732325   -0.093862
   -0.935740   -0.352622    0.006921
   -0.929412    0.346158   -0.127937
   -0.606373    0.672435    0.424432
   -0.913782   -0.019335    0.405746
   -0.730511   -0.654803    0.193871
   -0.937474    0.309999    0.158253
   -0.172826   -0.699264    0.693657
   -0.963460   -0.057159   -0.261684
   -0.359443   -0.837159    0.412269
   -0.970220   -0.093854   -0.223303
   -0.514954    0.393969    0.761322
   -0.124890   -0.073671    0.989432
   -0.707682    0.676542    0.203658
   -0.878281   -0.431512    0.205961
   46.052632
   -0.852747   -0.421823   -0.308038
   -0.901248    0.248105   -0.355242
   -0.348424    0.923727    0.159153
   -0.687962   -0.358262    0.631156
    0.381806    0.677708    0.628439
   -0.635023    0.343876    0.691733
   -0.386961    0.912260   -0.134324
   -0.713475    0.625729   -0.315306
    0.270473    0.928621   -0.253983
   -0.759440    0.302671    0.575883
   -0.707257   -0.563035    0.427527
   -0.462250    0.662818    0.589065
   -0.516875    0.649120    0.558108
   -0.780196    0.572578    0.251892
   -0.593831    0.467210    0.655041
    0.025954    0.795543    0.605341
   -0.572699   -0.252351    0.779959
   -0.198504   -0.979856    0.021869
   -0.055292    0.658562    0.750493
   -0.710417    0.632815    0.307981
    0.061216   -0.605388    0.793573
   -0.842412   -0.537383   -0.039515
    0.078137    0.993600    0.081571
   -0.375433    0.919713   -0.114794
    0.391265    0.913259    0.113444
   -0.557553    0.198330    0.806102
   -0.100100    0.931051    0.350890
    0.062631    0.612572    0.787929
   -0.413330    0.730204    0.544022
   -0.680820    0.528998    0.506601
   -0.402592    0.882901    0.241673
   -0.128042    0.923475    0.361661
    0.302113   -0.925901    0.226793
   -0.715206   -0.386316    0.582444
    0.004474    0.851668    0.524063
    0.666997    0.715525    0.207699
   -0.065456    0.504182    0.861113
   -0.056428    0.214094    0.975182
   -0.098427    0.992654    0.070360
    0.106593    0.872548   -0.476759
    0.184768    0.979615    0.078841
   -0.421096    0.901834   -0.096821
    0.244232    0.743530    0.622506
    0.586876    0.460052    0.666279
    0.596701    0.466189   -0.653158
   -0.442615    0.416685    0.794019
    0.506314    0.862314   -0.007814
    0.164457    0.972318   -0.165987
   -0.068260   -0.897713    0.435261
    0.677906   -0.692939    0.245517
    0.980534    0.193509   -0.033284
    0.084168    0.222308    0.971337
   -0.571865    0.336422    0.748192
    0.149517    0.880456    0.449935
    0.779574   -0.626246    0.008996
    0.616523    0.261988    0.742470
   -0.258617    0.724707    0.638685
   -0.444980    0.863478    0.237483
    0.454194    0.887013    0.083162
    0.387909    0.251983    0.886584
    0.070549    0.867973    0.491575
   -0.262165    0.942937    0.205279
