 Created on  8Aug2021 at 03:35:01 
    0.460195    0.807731    0.368498
   -0.164094   -0.676368   -0.718053
    0.860502   -0.196636   -0.469969
    0.539879   -0.606563   -0.583620
    0.666381   -0.653207   -0.359524
    0.829740    0.396862   -0.392468
    0.889284    0.071725    0.451697
   -0.108638    0.980910   -0.161288
    0.057679    0.482676   -0.873898
    0.926400   -0.375469    0.028372
    0.830199    0.037211    0.556224
    0.748060    0.661807    0.049181
    0.941430    0.336524    0.021462
   -0.875421    0.215583    0.432622
    0.126496   -0.964331    0.232519
   -0.980523   -0.156487    0.118689
   -0.827482    0.074795    0.556488
   -0.262211    0.941950    0.209705
   -0.511508    0.504179    0.695818
   -0.404866   -0.057128    0.912590
   -0.417945   -0.893587   -0.163779
   -0.411871   -0.796248    0.443116
   -0.668126    0.232397    0.706823
   -0.637167   -0.269498   -0.722073
   -0.753768    0.290588    0.589401
    0.221539   -0.553694   -0.802710
   -0.787538   -0.492511    0.370427
    0.936716   -0.340488    0.081434
   -0.167805    0.659900   -0.732375
    0.947314   -0.223948   -0.229004
    0.797495    0.542267   -0.264477
    0.312640   -0.460748   -0.830643
    0.554414   -0.704769   -0.442635
    0.893862   -0.298064   -0.334916
    0.205770    0.819047   -0.535557
    0.765147    0.557250   -0.322523
    0.600204   -0.278996   -0.749611
    0.936456    0.001817    0.350781
    0.752118    0.519531   -0.405470
    0.102059   -0.003714    0.994771
    0.606236    0.646309   -0.463424
   -0.958207    0.193991   -0.210256
   -0.745047   -0.601593   -0.288079
   -0.568048    0.430455    0.701449
   -0.703868   -0.615454   -0.354664
   -0.980227   -0.083827    0.179243
   -0.892349    0.152373    0.424848
   -0.868151    0.494896   -0.037316
   -0.739447   -0.533441    0.410680
   -0.505952   -0.706846    0.494349
   -0.694871    0.196652    0.691724
   -0.771117    0.440137   -0.460063
    0.242028   -0.961599    0.129422
   -0.827818    0.550646    0.107271
   -0.098358   -0.392784   -0.914356
   -0.335630   -0.935258   -0.112449
   -0.196772    0.846768    0.494231
   -0.731325    0.632865    0.254254
   -0.787267   -0.581900   -0.203968
   -0.450511    0.887053   -0.100883
   -0.974542   -0.136030    0.178225
   -0.695688    0.428944    0.576217
   -0.662188   -0.709890    0.239924
   -0.811650   -0.153894    0.563507
   -0.999779    0.008285   -0.019328
   -0.440683    0.652119    0.616878
   -0.233742   -0.639186   -0.732670
   -0.940714   -0.252779    0.226186
   -0.988698   -0.089795    0.120058
    0.012578    0.874319   -0.485188
    0.935499   -0.058464   -0.348460
    0.839174   -0.242023   -0.487044
    0.568661   -0.686552   -0.453068
    0.747671   -0.151734   -0.646502
    0.886635    0.038471    0.460867
    0.294000   -0.314811   -0.902473
    0.651197    0.679803    0.337358
    0.692667   -0.264459   -0.671025
    0.771242   -0.024472   -0.636071
    0.847356   -0.529438    0.041026
    0.495976    0.571937   -0.653373
    0.958104    0.118692   -0.260670
    0.471154    0.585942    0.659307
   -0.642798   -0.733100    0.222204
   -0.646425    0.467721    0.602804
   -0.892864    0.283019    0.350276
   -0.468676    0.277668    0.838596
   -0.699950    0.355154   -0.619625
   -0.784647   -0.184035    0.591997
    0.346930    0.699946    0.624272
   -0.197061   -0.951193    0.237484
   -0.676766    0.433227   -0.595233
   -0.520184   -0.185148    0.833744
   -0.870419   -0.210324   -0.445122
   -0.264137   -0.173478    0.948756
   -0.869363   -0.453406    0.196550
   -0.769921   -0.081490   -0.632915
    0.832446    0.481448   -0.274300
    0.987231    0.127307    0.095746
    0.092232    0.488966   -0.867413
    0.450010   -0.297524   -0.842004
    0.854454   -0.519514    0.003746
    0.527057    0.212312   -0.822882
    0.582201   -0.049801   -0.811518
    0.729786    0.359665   -0.581424
    0.613231   -0.128425    0.779394
    0.384473    0.687363   -0.616208
    0.984457    0.134803   -0.112573
   -0.048335    0.155456   -0.986660
    0.942522   -0.317690   -0.103559
    0.545558    0.452640    0.705325
   -0.766068    0.040484   -0.641483
   -0.838193    0.202682    0.506313
   -0.864388    0.010844    0.502708
   -0.879272    0.476294    0.004924
   -0.887201    0.185906    0.422271
   -0.228123   -0.344407    0.910683
   -0.968314   -0.249682   -0.005211
   -0.887770    0.406797    0.215363
   -0.118635   -0.942298   -0.313051
   -0.396025   -0.312470    0.863439
   -0.780574   -0.620183   -0.077959
   -0.533905   -0.696252    0.479770
   -0.776122    0.334241   -0.534714
   -0.485361   -0.702194    0.520911
    0.123167   -0.528648    0.839858
    0.655287    0.579277   -0.484806
    0.876351   -0.325003    0.355503
    0.814652   -0.576616   -0.062091
    0.462736   -0.362789   -0.808863
    0.499700   -0.782804   -0.370835
    0.959950    0.171019    0.221922
    0.757156   -0.559096    0.337825
    0.243145    0.820339    0.517614
    0.124662    0.394045   -0.910598
    0.615588   -0.754941    0.226088
    0.996915   -0.052743    0.058120
    0.704077    0.481006    0.522407
    0.886307    0.462593    0.021621
   -0.411207   -0.898089   -0.156026
   -0.780601    0.167406    0.602194
   -0.978384    0.187188    0.087899
    0.075155    0.809669    0.582055
   -0.578937    0.223280    0.784205
   -0.527090    0.819982   -0.223169
   -0.431235   -0.405585    0.805939
   -0.873548    0.464245   -0.146254
   -0.585112   -0.800226   -0.131466
    0.388058   -0.131635    0.912186
   -0.861752    0.506600    0.027201
   -0.800685   -0.414364   -0.432674
    0.499046   -0.823601   -0.269507
   -0.862092    0.501862    0.070220
    0.195558   -0.337255   -0.920878
    0.387940    0.921683    0.001962
    0.878267   -0.232936   -0.417598
    0.386749   -0.847429   -0.363716
    0.368551   -0.436301   -0.820860
    0.896682    0.391844   -0.205961
    0.800351   -0.498466   -0.333122
    0.671595    0.740653    0.019839
    0.922838   -0.010734    0.385039
   -0.233697    0.251045   -0.939341
    0.822251    0.558807   -0.107882
    0.828189    0.461127   -0.318536
    0.366179    0.917991   -0.152334
   -0.141033    0.501241    0.853737
   -0.298718   -0.934004    0.195969
   -0.999773   -0.003226   -0.021066
   -0.785968    0.378034   -0.489229
    0.060982    0.481863    0.874122
   -0.660107    0.478473    0.579070
   -0.775017   -0.153498    0.613015
   -0.417818   -0.465789    0.780044
   -0.883357    0.297730   -0.361990
    0.014608   -0.999162    0.038240
   -0.930692    0.123940    0.344168
   -0.941390    0.040124    0.334925
   -0.982347   -0.182245   -0.042208
   -0.504788   -0.848226    0.160318
   -0.981478   -0.182433   -0.058474
    0.582440    0.788020   -0.199471
    0.700740    0.687289   -0.191307
    0.894087   -0.106065   -0.435153
    0.950956   -0.101938   -0.292047
    0.614176   -0.662223   -0.429241
    0.576247    0.798318   -0.175008
    0.917459   -0.081260   -0.389444
    0.878699   -0.443615    0.176332
    0.558717    0.820233    0.122690
    0.280170   -0.023850   -0.959654
    0.533950    0.496109    0.684670
    0.946674    0.176146    0.269777
    0.731483    0.663820    0.155808
    0.549285    0.756331    0.355316
   -0.847071   -0.530133   -0.037801
   -0.825414   -0.564283   -0.016644
   -0.777625   -0.179796    0.602472
   -0.810665    0.312280    0.495281
   -0.805561    0.548221    0.224776
   -0.320484    0.721823    0.613401
   -0.731911   -0.568963    0.374949
   -0.807766    0.575631   -0.127135
   -0.057717   -0.998275   -0.010773
   -0.472243   -0.879853    0.053343
   -0.885180   -0.055552   -0.461921
   -0.958568   -0.265167   -0.104083
   -0.305608   -0.202501   -0.930375
   -0.736333   -0.675523    0.038489
    0.819128   -0.571882    0.044494
    0.715562    0.565650   -0.409891
    0.551912    0.829750   -0.083112
    0.791473    0.064795   -0.607760
   -0.245628   -0.785173    0.568481
    0.952415    0.243657   -0.183129
   -0.109669    0.107886   -0.988096
    0.972724    0.186796    0.137531
    0.209168    0.868093   -0.450181
    0.698898    0.714152   -0.039096
    0.602226   -0.771810    0.204041
    0.850367    0.441509   -0.286261
    0.876368   -0.296899    0.379250
   -0.097398    0.974364   -0.202801
   -0.855084    0.128919   -0.502206
   -0.756919    0.464796   -0.459389
   -0.750698   -0.533752    0.389310
   -0.757360    0.296732    0.581684
   -0.827210   -0.137336   -0.544851
   -0.903402   -0.327457    0.276832
   -0.582390    0.558112    0.591044
    0.312576   -0.740998    0.594321
   -0.970511    0.049636   -0.235892
   -0.541147   -0.652584    0.530371
   -0.677207    0.598580   -0.427894
   -0.447080   -0.131207    0.884819
   -0.827416    0.426174   -0.365730
   -0.526489   -0.655059    0.541947
    0.756153    0.650959    0.066974
    0.603139   -0.779301    0.170037
    0.929319    0.283604   -0.236507
    0.677103    0.735677   -0.017624
    0.980130   -0.121831    0.156532
    0.974653   -0.219784   -0.041789
    0.818911   -0.195832   -0.539477
    0.678332    0.705523   -0.205193
    0.696211    0.017968   -0.717612
    0.770973    0.484010   -0.413926
    0.795045   -0.605987   -0.026126
    0.328646    0.907690    0.260941
    0.971945   -0.136213   -0.191753
    0.972783   -0.190540    0.131864
    0.431294    0.902159   -0.009724
    0.889170   -0.444525    0.108506
    0.097087   -0.282434   -0.954361
    0.803981    0.204616   -0.558343
    0.909904   -0.304639    0.281549
    0.845222    0.475348    0.244222
    0.390194   -0.512630   -0.764826
    0.169847    0.928156   -0.331177
    0.927745    0.355724    0.112913
