 Created on  1Dec2019 at 16:58:59 
    0.285126    0.489220   -0.824237
   -0.426773    0.203768    0.881104
    0.350548    0.357773    0.865514
   -0.181686   -0.316658   -0.930977
   -0.103242    0.343410   -0.933494
   -0.275896   -0.034206    0.960579
    0.123474   -0.194263    0.973148
    0.377078   -0.118658   -0.918549
    0.159315   -0.441255   -0.883127
    0.322459    0.415901    0.850321
    0.291272   -0.421637    0.858710
    0.207179   -0.037753   -0.977574
   -0.157694    0.124876   -0.979560
   -0.413625   -0.138259    0.899888
    0.092534   -0.219585    0.971195
    0.011668   -0.123001   -0.992338
   -0.560618    0.207525   -0.801649
   -0.259775    0.259584    0.930125
   -0.024988    0.391986    0.919632
    0.072179    0.017893   -0.997231
   -0.149021    0.072458   -0.986176
   -0.078121    0.096040    0.992307
   -0.069100    0.315061    0.946553
   10.468085
    0.232322   -0.017216    0.972487
    0.432669    0.408708    0.803589
   -0.050999    0.038776   -0.997946
    0.483783   -0.472371    0.736763
    0.369132    0.084858    0.925495
    0.144831   -0.087028    0.985622
   -0.501589   -0.075510   -0.861805
    0.701879   -0.005704    0.712273
    0.254513   -0.147425    0.955766
   -0.421828    0.090799   -0.902118
   -0.298073   -0.085492   -0.950707
   -0.784684   -0.187288   -0.590926
    0.426720   -0.090390    0.899856
   -0.690371    0.245639   -0.680477
   -0.405231   -0.124871   -0.905646
   -0.252464   -0.025774   -0.967263
    0.046384   -0.318663    0.946733
    0.526327    0.395726    0.752583
   -0.675339    0.202897   -0.709049
    0.509449   -0.099297    0.854752
   -0.134998    0.126221    0.982774
    0.582541    0.009917    0.812741
   -0.691228    0.385534   -0.611202
   -0.067787   -0.077474    0.994687
    0.423775   -0.108920    0.899195
   -0.420443    0.130462   -0.897890
   -0.143524   -0.046747   -0.988542
   -0.336691   -0.064855   -0.939379
    0.583753   -0.044906    0.810689
   -0.757241    0.115195   -0.642897
    0.032508   -0.188539   -0.981527
   -0.272573   -0.262196   -0.925720
   -0.383947   -0.130655   -0.914064
   -0.318597   -0.167639   -0.932949
    0.281454    0.052625    0.958131
   -0.224595    0.389206   -0.893351
   -0.564503    0.185718   -0.804267
   -0.702666    0.250115   -0.666110
   -0.136427   -0.364733    0.921063
   -0.615237    0.604986   -0.505446
   -0.040660    0.183930   -0.982098
    0.280015   -0.267638    0.921934
    0.110328    0.142982    0.983557
    0.442204    0.251802    0.860844
   -0.492235    0.292275   -0.819927
    0.443571   -0.262101    0.857057
    0.507060   -0.408936    0.758723
    0.261745    0.259597    0.929569
   -0.266133   -0.034632   -0.963314
   -0.050999   -0.167598   -0.984535
    0.409935   -0.216159    0.886131
   -0.180220    0.363243   -0.914098
   -0.032832    0.088983   -0.995492
   -0.108223    0.214417   -0.970728
    0.270976   -0.379912    0.884443
   -0.263536   -0.011990   -0.964575
   -0.338475    0.111888   -0.934300
    0.297280   -0.283073    0.911863
    0.260430   -0.131145    0.956544
    0.020347   -0.281102    0.959462
   -0.326458    0.149670   -0.933287
    0.384248   -0.258108    0.886416
    0.029285    0.278565    0.959971
    0.339651    0.422975    0.840077
   -0.206607    0.098356    0.973468
    0.347428    0.260767    0.900719
    0.141433   -0.011553   -0.989880
    0.422973   -0.169896    0.890073
    0.007749    0.018293    0.999803
    0.383082   -0.185868    0.904821
   -0.122061    0.607416   -0.784950
